"Note: 1 = intervene, 0 = allow robot to complete action",,,,,,,,,,,,,,,,,,,,
,Group that saw glass drop First,,,,,,,,,,,Group that saw glass drop Last,,,,,,,,
,Initial trust,Intervene - WG,Trust,Intervene - Can,Trust,Intervene - Bottle,Trust,Intervene - WG,Trust,,,Initial trust,Intervene - WG,Trust,Intervene - Can,Trust,Intervene - Bottle,Trust,Intervene - WG,Trust
,6.00,1.00,5.00,0.00,6.00,0.00,6.00,1.00,6.00,,,3.00,1.00,3.00,0.00,4.00,0.00,5.00,0.00,3.00
,4.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,2.00,1.00,2.00,0.00,3.00,0.00,4.00,1.00,4.00
,2.00,1.00,3.00,0.00,4.00,0.00,4.00,0.00,6.00,,,5.00,0.00,4.00,0.00,6.00,0.00,7.00,0.00,4.00
,5.00,0.00,2.00,1.00,4.00,0.00,4.00,1.00,4.00,,,3.00,0.00,4.00,0.00,5.00,0.00,6.00,0.00,2.00
,3.00,0.00,1.00,0.00,2.00,0.00,3.00,1.00,4.00,,,3.00,1.00,3.00,0.00,4.00,0.00,5.00,0.00,3.00
,5.00,0.00,2.00,1.00,2.00,0.00,4.00,0.00,5.00,,,5.00,1.00,5.00,0.00,6.00,0.00,6.00,0.00,4.00
,3.00,1.00,3.00,0.00,3.00,0.00,5.00,0.00,7.00,,,4.00,1.00,4.00,0.00,5.00,0.00,6.00,1.00,6.00
,4.00,0.00,1.00,1.00,3.00,1.00,4.00,1.00,4.00,,,4.00,0.00,5.00,0.00,5.00,0.00,6.00,1.00,5.00
,4.00,1.00,4.00,0.00,5.00,1.00,5.00,1.00,5.00,,,5.00,0.00,6.00,0.00,6.00,0.00,7.00,0.00,3.00
,3.00,1.00,3.00,0.00,5.00,0.00,6.00,0.00,6.00,,,5.00,1.00,6.00,0.00,6.00,0.00,6.00,0.00,3.00
,4.00,1.00,4.00,0.00,5.00,0.00,5.00,0.00,6.00,,,2.00,0.00,4.00,0.00,4.00,1.00,4.00,1.00,4.00
,5.00,0.00,4.00,0.00,6.00,0.00,6.00,1.00,6.00,,AVERAGE,3.73,0.55,4.18,0.00,4.91,0.09,5.64,0.36,3.73
,3.00,0.00,3.00,0.00,3.00,0.00,4.00,1.00,4.00,,,,,,,,,,,
,4.00,1.00,4.00,0.00,5.00,0.00,5.00,1.00,5.00,,,,,,,,,,,
AVERAGE,3.928571429,0.5,2.857142857,0.2857142857,3.857142857,0.2142857143,4.428571429,0.6428571429,4.928571429,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,% intervene,,,,,,,
Average trust in robot,,,,,,,,,,,,,,Glass Failed First,Glass Failed Last,,,,,
,Glass Failed First,Glass Failed Last,,,,,,,,,,,Glass,0.50,0.55,,,,,
Initial,3.93,3.73,,,,,,,,,,,Bottle,0.29,0.00,,,,,
Glass,2.86,4.18,,,,,,,,,,,Can,0.21,0.09,,,,,
Botle,3.86,4.91,,,,,,,,,,,Glass,0.64,0.36,,,,,
Can,4.43,5.64,,,,,,,,,,,,,,,,,,
Glass,4.93,3.73,,,,,,,,,,,,,,,,,,